Serial_No,Report_Name,Reporting_Data_attribute,Data_Attributes_contributing_to_reporting_attributes,Row_Code,Column_Code,Measure,Source,Tab,Sub_part,Mart,Mart_Logic,SQL_Query,Frequency
,Schedule V,Interest Rate Structure,2 - Non Housing Loan to Individuals 1.5-Above 20% to 30%,R1479,C272,Floating rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 20% and <= 30%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '20%'
AND ROI_as_on_reporting_date <= '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,2- Non Housing Loan to Individuals 1.6-Above 30%,R1480,C272,Floating rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 30%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,2-Non Housing Loan to Individuals 1.1-Upto 5%,R1475,C273,Floating rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(NHL_POS) where
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date <= 5%","SELECT sum(NHL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date <= '5%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,2-Non Housing Loan to Individuals 1.2-Above 5% to 10%,R1476,C273,Floating rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(NHL_POS) where
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 5% and <= 10%","SELECT sum(NHL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '5%'
AND ROI_as_on_reporting_date <= '10%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,2-Non Housing Loan to Individuals 1.3-Above 10% to 15%,R1477,C273,Floating rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(NHL_POS) where
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 10% and <= 15%","SELECT sum(NHL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '10%'
AND ROI_as_on_reporting_date <= '15%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,2- Non Housing Loan to Individuals 1.4-Above 15% to 20%,R1478,C273,Floating rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(NHL_POS) where
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 15% and  <= 20%","SELECT sum(NHL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '15%'
AND ROI_as_on_reporting_date <= '20%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,2 - Non Housing Loan to Individuals 1.5-Above 20% to 30%,R1479,C273,Floating rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(NHL_POS) where
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 20% and <= 30%","SELECT  sum(NHL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'INDIVIDUAL'
AND nhb_Product  = 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '20%'
AND ROI_as_on_reporting_date <= '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.1-Upto 10% 1-Housing Loan to builders/corporate etc.,R1482,C270,Fixed rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date <= 10%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date <= '10%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.2-Above 10% to 15% 1-Housing Loan to builders/corporate etc.,R1483,C270,Fixed rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 10% and <= 15%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date > '10%'
AND ROI_as_on_reporting_date <= '15%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.3-Above 15% to 20% 1-Housing Loan to builders/corporate etc.,R1484,C270,Fixed rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 15% and <= 20%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '15%'
AND ROI_as_on_reporting_date <= '20%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.4-Above 20% to 30% 1-Housing Loan to builders/corporate etc.,R1485,C270,Fixed rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 20% and <= 30%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date > '20%'
AND ROI_as_on_reporting_date <= '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.5-Above 30% 1-Housing Loan to builders/corporate etc.,R1486,C270,Fixed rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 30%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date > '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.1-Upto 10% 1-Housing Loan to builders/corporate etc.,R1482,C271,Fixed rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date <= 10%","SELECT sum(HL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date <= '10%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.2-Above 10% to 15% 1-Housing Loan to builders/corporate etc.,R1483,C271,Fixed rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 10% and <= 15%","SELECT  sum(HL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date > '10%'
AND ROI_as_on_reporting_date <= '15%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.3-Above 15% to 20% 1-Housing Loan to builders/corporate etc.,R1484,C271,Fixed rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 15% and <= 20%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '15%'
AND ROI_as_on_reporting_date <= '20%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.4-Above 20% to 30% 1-Housing Loan to builders/corporate etc.,R1485,C271,Fixed rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 20% and <= 30%","SELECT  sum(HL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date > '20%'
AND ROI_as_on_reporting_date <= '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.5-Above 30% 1-Housing Loan to builders/corporate etc.,R1486,C271,Fixed rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 30%","SELECT sum(HL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date > '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.1-Upto 10% 1-Housing Loan to builders/corporate etc.,R1482,C272,Floating rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date <= 10%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date <= '10%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.2-Above 10% to 15% 1-Housing Loan to builders/corporate etc.,R1483,C272,Floating rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 10% and <= 15%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '10%'
AND ROI_as_on_reporting_date <= '15%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.3-Above 15% to 20% 1-Housing Loan to builders/corporate etc.,R1484,C272,Floating rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 15% and <= 20%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '15%'
AND ROI_as_on_reporting_date <= '20%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.4-Above 20% to 30% 1-Housing Loan to builders/corporate etc.,R1485,C272,Floating rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 20% and <= 30%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '20%'
AND ROI_as_on_reporting_date <= '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.5-Above 30% 1-Housing Loan to builders/corporate etc.,R1486,C272,Floating rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 30%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.1-Upto 10% 1-Housing Loan to builders/corporate etc.,R1482,C273,Floating rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date <= 10%","SELECT sum(HL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date <= '10%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.2-Above 10% to 15% 1-Housing Loan to builders/corporate etc.,R1483,C273,Floating rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 10% and <= 15%","SELECT  sum(HL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '10%'
AND ROI_as_on_reporting_date <= '15%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.3-Above 15% to 20% 1-Housing Loan to builders/corporate etc.,R1484,C273,Floating rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 15% and <= 20%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '15%'
AND ROI_as_on_reporting_date <= '20%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.4-Above 20% to 30% 1-Housing Loan to builders/corporate etc.,R1485,C273,Floating rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product <> 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 20% and <= 30%","SELECT  sum(HL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product <> 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '20%'
AND ROI_as_on_reporting_date <= '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.1-Upto 10% 1-Non-Housing Loan to builders/corporate etc.,R1488,C270,Fixed rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date <= 10%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date <= '10%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.2-Above 10% to 15% 1-Non-Housing Loan to builders/corporate etc.,R1489,C270,Fixed rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 10% and <= 15%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date > '10%'
AND ROI_as_on_reporting_date <= '15%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.3-Above 15% to 20% 1-Non-Housing Loan to builders/corporate etc.,R1490,C270,Fixed rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 15% and <= 20%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '15%'
AND ROI_as_on_reporting_date <= '20%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.4-Above 20% to 30% 1-Non-Housing Loan to builders/corporate etc.,R1491,C270,Fixed rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 20% and <= 30%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date > '20%'
AND ROI_as_on_reporting_date <= '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.5-Above 30% 1-Non-Housing Loan to builders/corporate etc.,R1492,C270,Fixed rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 30%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date > '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.1-Upto 10% 1-Non-Housing Loan to builders/corporate etc.,R1488,C271,Fixed rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date <= 10%","SELECT sum(HL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date <= '10%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.2-Above 10% to 15% 1-Non-Housing Loan to builders/corporate etc.,R1489,C271,Fixed rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 10% and <= 15%","SELECT  sum(HL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date > '10%'
AND ROI_as_on_reporting_date <= '15%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.3-Above 15% to 20% 1-Non-Housing Loan to builders/corporate etc.,R1490,C271,Fixed rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 15% and <= 20%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date > '15%'
AND ROI_as_on_reporting_date <= '20%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.4-Above 20% to 30% 1-Non-Housing Loan to builders/corporate etc.,R1491,C271,Fixed rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 20% and <= 30%","SELECT  sum(HL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date > '20%'
AND ROI_as_on_reporting_date <= '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.5-Above 30% 1-Non-Housing Loan to builders/corporate etc.,R1492,C271,Fixed rate- Outstanding amount,Mart,Part-5,Part-5,Outstanding_mart,"Select sum(HL_POS) where
1- Customer_type = 'CORPORATE'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Fixed'
4- ROI_as_on_reporting_date > 30%","SELECT sum(HL_POS)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FIXED'
AND ROI_as_on_reporting_date > '30%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.1-Upto 10% 1-Non-Housing Loan to builders/corporate etc.,R1488,C272,Floating rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date <= 10%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date <= '10%'
AND Report_Date IN ({{report_dates}});",monthly
,Schedule V,Interest Rate Structure,3.2-Above 10% to 15% 1-Non-Housing Loan to builders/corporate etc.,R1489,C272,Floating rate- No. of accounts,Mart,Part-5,Part-5,Outstanding_mart,"Select count(Loan_number_new) where
1- Customer_type = 'CORPORATE'
2- nhb_Product = 'Other Loan'
3- ROI_Type = 'Floating'
4- ROI_as_on_reporting_date > 10% and <= 15%","SELECT count(Loan_number_new)
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
WHERE Customer_type = 'CORPORATE'
AND nhb_Product = 'OTHER LOAN'
AND ROI_Type = 'FLOATING'
AND ROI_as_on_reporting_date > '10%'
AND ROI_as_on_reporting_date <= '15%'
AND Report_Date IN ({{report_dates}});",monthly
